week,skipped,leg1_match,leg1_pick,leg1_odds,leg1_actual,leg1_correct,leg1_confidence,leg1_why,leg2_match,leg2_pick,leg2_odds,leg2_actual,leg2_correct,leg2_confidence,leg2_why,accum_legs,accum_combo_odds,accum_won,draw_match,draw_odds,draw_actual,draw_correct,draw_conf,draw_why,leg3_match,leg3_pick,leg3_odds,leg3_actual,leg3_correct,leg3_confidence,leg3_why
2022-01-17/2022-01-23,False,Arsenal vs Burnley,Home Win,1.36,D,False,17.1,"Pinnacle gives home 71% win prob | dominant form gap: 12pts vs 2pts in last 5 (historic 87% accuracy) | MISMATCH: home on 12pts, away on 2pts — best config (90%+ historic) | venue form gap: +10 (home-at-home vs away-at-away) | away on 2-game losing streak",Southampton vs Man City,Away Win,1.27,D,False,14.0,Pinnacle gives away 75% win prob | away team clearly stronger: 15pts vs 8pts in last 5 | away attack 2.8/game vs leaky home defence 1.8 conceded/game | venue form gap: -6 (home-at-home vs away-at-away) | away on 12-game win streak,2,1.73,False,Vallecano vs Ath Bilbao,2.8,A,False,18.3,"Pinnacle draw 35% | gap=+0pts | home DR 30%, away DR 50%",,,,,,,
2022-03-28/2022-04-03,False,Ath Madrid vs Alaves,Home Win,1.38,H,True,26.3,"Pinnacle gives home 71% win prob | dominant form gap: 15pts vs 2pts in last 5 (historic 87% accuracy) | MISMATCH: home on 15pts, away on 2pts — best config (90%+ historic) | attacking mismatch: home scores 2.2/game, opp concedes 1.8/game | venue form gap: +11 (home-at-home vs away-at-away) | home on 5-game win streak | away on 2-game losing streak",Liverpool vs Watford,Home Win,1.13,H,True,17.0,"Pinnacle gives home 86% win prob | dominant form gap: 15pts vs 4pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 2.8/game, opp concedes 2.4/game | venue form gap: +8 (home-at-home vs away-at-away) | home on 9-game win streak",3,1.92,True,Valencia vs Cadiz,3.36,D,True,11.2,"Pinnacle draw 29% | gap=+2pts | home DR 30%, away DR 40%",Burnley vs Man City,Away Win,1.23,A,True,13.9,Pinnacle gives away 79% win prob | away team clearly stronger: 10pts vs 4pts in last 5 | away attack 2.2/game vs leaky home defence 1.8 conceded/game | venue form gap: -7 (home-at-home vs away-at-away) | home on 3-game losing streak
2022-08-15/2022-08-21,False,Napoli vs Monza,Home Win,1.35,H,True,22.7,"Pinnacle gives home 72% win prob | dominant form gap: 15pts vs 0pts in last 5 (historic 87% accuracy) | MISMATCH: home on 15pts, away on 0pts — best config (90%+ historic) | attacking mismatch: home scores 3.6/game, opp concedes 2.0/game | venue form gap: +10 (home-at-home vs away-at-away) | home on 5-game win streak",Dortmund vs Werder Bremen,Home Win,1.41,A,False,20.6,"Pinnacle gives home 69% win prob | dominant form gap: 12pts vs 3pts in last 5 (historic 87% accuracy) | MISMATCH: home on 12pts, away on 3pts — best config (90%+ historic) | attacking mismatch: home scores 2.4/game, opp concedes 2.0/game | venue form gap: +8 (home-at-home vs away-at-away) | home on 4-game win streak",3,2.25,False,Espanol vs Vallecano,3.04,A,False,17.0,"Pinnacle draw 32% | gap=+2pts | home DR 40%, away DR 40%",Inter vs Spezia,Home Win,1.18,H,True,16.8,"Pinnacle gives home 82% win prob | dominant form gap: 15pts vs 6pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 2.8/game, opp concedes 2.4/game | venue form gap: +9 (home-at-home vs away-at-away) | home on 5-game win streak"
2022-12-26/2023-01-01,False,Arsenal vs West Ham,Home Win,1.52,H,True,21.5,"Pinnacle gives home 64% win prob | dominant form gap: 13pts vs 3pts in last 5 (historic 87% accuracy) | MISMATCH: home on 13pts, away on 3pts — best config (90%+ historic) | venue form gap: +14 (home-at-home vs away-at-away) | home on 3-game win streak | away on 3-game losing streak",Barcelona vs Espanol,Home Win,1.26,D,False,21.4,"Pinnacle gives home 77% win prob | dominant form gap: 15pts vs 3pts in last 5 (historic 87% accuracy) | MISMATCH: home on 15pts, away on 3pts — best config (90%+ historic) | venue form gap: +12 (home-at-home vs away-at-away) | home on 5-game win streak",3,2.85,False,Celta vs Sevilla,3.43,D,True,10.4,"Pinnacle draw 29% | gap=+0pts | home DR 20%, away DR 40%",Newcastle vs Leeds,Home Win,1.49,D,False,15.8,"Pinnacle gives home 65% win prob | dominant form gap: 15pts vs 6pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 2.8/game, opp concedes 2.8/game | venue form gap: +10 (home-at-home vs away-at-away) | home on 6-game win streak | away on 2-game losing streak"
2023-04-10/2023-04-16,False,Man City vs Leicester,Home Win,1.16,H,True,31.0,"Pinnacle gives home 83% win prob | dominant form gap: 15pts vs 1pts in last 5 (historic 87% accuracy) | MISMATCH: home on 15pts, away on 1pts — best config (90%+ historic) | attacking mismatch: home scores 3.0/game, opp concedes 1.8/game | venue form gap: +11 (home-at-home vs away-at-away) | home on 5-game win streak | away on 3-game losing streak",Ath Madrid vs Almeria,Home Win,1.23,H,True,16.9,"Pinnacle gives home 78% win prob | dominant form gap: 15pts vs 5pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 2.6/game, opp concedes 1.6/game | venue form gap: +11 (home-at-home vs away-at-away) | home on 5-game win streak",3,1.87,False,Vallecano vs Osasuna,3.13,H,False,16.9,"Pinnacle draw 31% | gap=-2pts | home DR 50%, away DR 40%",Barcelona vs Girona,Home Win,1.31,D,False,13.3,Pinnacle gives home 74% win prob | venue form gap: +11 (home-at-home vs away-at-away) | home on 4-game win streak
2023-05-01/2023-05-07,False,Man City vs Leeds,Home Win,1.18,H,True,27.3,"Pinnacle gives home 82% win prob | dominant form gap: 15pts vs 1pts in last 5 (historic 87% accuracy) | MISMATCH: home on 15pts, away on 1pts — best config (90%+ historic) | attacking mismatch: home scores 3.2/game, opp concedes 3.6/game | venue form gap: +12 (home-at-home vs away-at-away) | home on 9-game win streak",Man City vs West Ham,Home Win,1.21,H,True,18.7,"Pinnacle gives home 80% win prob | clear form advantage: 15pts vs 7pts in last 5 | attacking mismatch: home scores 3.4/game, opp concedes 1.6/game | venue form gap: +9 (home-at-home vs away-at-away) | home on 8-game win streak | away on 2-game losing streak",3,1.81,True,Getafe vs Celta,3.03,H,False,12.7,"Pinnacle draw 32% | gap=-3pts | home DR 30%, away DR 30%",Liverpool vs Fulham,Home Win,1.27,H,True,13.9,Pinnacle gives home 76% win prob | clear form advantage: 13pts vs 6pts in last 5 | venue form gap: +7 (home-at-home vs away-at-away) | home on 4-game win streak | away on 2-game losing streak
2023-08-28/2023-09-03,False,Cagliari vs Inter,Away Win,1.47,A,True,16.9,Pinnacle gives away 66% win prob | dominant away form gap: 12pts vs 3pts in last 5 (historic 87%) | venue form gap: -9 (home-at-home vs away-at-away) | away on 3-game win streak,Leverkusen vs Darmstadt,Home Win,1.2,H,True,14.3,Pinnacle gives home 81% win prob | clear form advantage: 8pts vs 0pts in last 5 | venue form gap: +10 (home-at-home vs away-at-away) | home on 2-game win streak | away on 2-game losing streak,3,2.03,True,Lecce vs Salernitana,3.4,H,False,11.4,"Pinnacle draw 29% | gap=+2pts | home DR 30%, away DR 50%",Man City vs Fulham,Home Win,1.15,H,True,13.8,Pinnacle gives home 84% win prob | venue form gap: +8 (home-at-home vs away-at-away) | home on 3-game win streak
2023-09-18/2023-09-24,False,Empoli vs Inter,Away Win,1.33,A,True,23.3,Pinnacle gives away 73% win prob | dominant away form gap: 15pts vs 0pts in last 5 (historic 87%) | away attack 2.8/game vs leaky home defence 2.8 conceded/game | venue form gap: -6 (home-at-home vs away-at-away) | away on 6-game win streak | home on 5-game losing streak,Man City vs Nott'm Forest,Home Win,1.15,H,True,14.7,Pinnacle gives home 84% win prob | clear form advantage: 15pts vs 7pts in last 5 | venue form gap: +10 (home-at-home vs away-at-away) | home on 5-game win streak,3,1.68,True,Torino vs Roma,3.1,D,True,13.3,"Pinnacle draw 31% | gap=+0pts | home DR 30%, away DR 40%",Bayern Munich vs Bochum,Home Win,1.1,H,True,13.5,"Pinnacle gives home 88% win prob | clear form advantage: 13pts vs 6pts in last 5 | attacking mismatch: home scores 2.6/game, opp concedes 1.8/game | venue form gap: +7 (home-at-home vs away-at-away)"
2023-10-23/2023-10-29,False,Ath Madrid vs Alaves,Home Win,1.4,H,True,19.8,"Pinnacle gives home 69% win prob | dominant form gap: 15pts vs 3pts in last 5 (historic 87% accuracy) | MISMATCH: home on 15pts, away on 3pts — best config (90%+ historic) | venue form gap: +13 (home-at-home vs away-at-away) | home on 5-game win streak",Arsenal vs Sheffield United,Home Win,1.13,H,True,17.1,"Pinnacle gives home 86% win prob | dominant form gap: 11pts vs 0pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 2.0/game, opp concedes 3.4/game | venue form gap: +11 (home-at-home vs away-at-away) | away on 5-game losing streak",3,2.04,True,Mallorca vs Getafe,3.03,D,True,19.3,"Pinnacle draw 32% | gap=-1pts | home DR 50%, away DR 50%",Leverkusen vs Freiburg,Home Win,1.29,H,True,15.2,"Pinnacle gives home 75% win prob | clear form advantage: 13pts vs 7pts in last 5 | attacking mismatch: home scores 2.8/game, opp concedes 1.6/game | venue form gap: +9 (home-at-home vs away-at-away) | home on 4-game win streak"
2023-11-06/2023-11-12,False,Leverkusen vs Union Berlin,Home Win,1.29,H,True,28.7,"Pinnacle gives home 75% win prob | dominant form gap: 15pts vs 0pts in last 5 (historic 87% accuracy) | MISMATCH: home on 15pts, away on 0pts — best config (90%+ historic) | attacking mismatch: home scores 2.6/game, opp concedes 2.6/game | venue form gap: +12 (home-at-home vs away-at-away) | home on 6-game win streak | away on 8-game losing streak",Bayern Munich vs Heidenheim,Home Win,1.06,H,True,20.3,"Pinnacle gives home 91% win prob | clear form advantage: 13pts vs 6pts in last 5 | attacking mismatch: home scores 4.0/game, opp concedes 1.8/game | venue form gap: +12 (home-at-home vs away-at-away) | home on 4-game win streak",3,1.63,True,Getafe vs Cadiz,3.19,H,False,16.5,"Pinnacle draw 30% | gap=+3pts | home DR 50%, away DR 40%",Inter vs Frosinone,Home Win,1.19,H,True,16.0,"Pinnacle gives home 81% win prob | clear form advantage: 13pts vs 6pts in last 5 | attacking mismatch: home scores 2.4/game, opp concedes 2.0/game | venue form gap: +8 (home-at-home vs away-at-away) | home on 3-game win streak"
2024-03-04/2024-03-10,False,Sheffield United vs Arsenal,Away Win,1.16,A,True,26.5,Pinnacle gives away 83% win prob | dominant away form gap: 15pts vs 3pts in last 5 (historic 87%) | away attack 4.0/game vs leaky home defence 3.0 conceded/game | venue form gap: -6 (home-at-home vs away-at-away) | away on 6-game win streak | home on 2-game losing streak,Leverkusen vs Wolfsburg,Home Win,1.32,H,True,21.0,"Pinnacle gives home 73% win prob | dominant form gap: 15pts vs 3pts in last 5 (historic 87% accuracy) | MISMATCH: home on 15pts, away on 3pts — best config (90%+ historic) | attacking mismatch: home scores 2.2/game, opp concedes 1.8/game | venue form gap: +7 (home-at-home vs away-at-away) | home on 5-game win streak",3,1.88,True,Genoa vs Monza,3.11,A,False,13.7,"Pinnacle draw 31% | gap=-3pts | home DR 50%, away DR 30%",Arsenal vs Brentford,Home Win,1.23,H,True,15.9,"Pinnacle gives home 78% win prob | dominant form gap: 15pts vs 4pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 4.8/game, opp concedes 2.2/game | venue form gap: +9 (home-at-home vs away-at-away) | home on 7-game win streak"
2024-03-25/2024-03-31,False,Stuttgart vs Heidenheim,Home Win,1.26,D,False,21.8,"Pinnacle gives home 76% win prob | dominant form gap: 13pts vs 2pts in last 5 (historic 87% accuracy) | MISMATCH: home on 13pts, away on 2pts — best config (90%+ historic) | attacking mismatch: home scores 2.2/game, opp concedes 1.6/game | venue form gap: +7 (home-at-home vs away-at-away) | home on 3-game win streak",Barcelona vs Las Palmas,Home Win,1.27,H,True,20.7,"Pinnacle gives home 76% win prob | dominant form gap: 13pts vs 2pts in last 5 (historic 87% accuracy) | MISMATCH: home on 13pts, away on 2pts — best config (90%+ historic) | attacking mismatch: home scores 2.0/game, opp concedes 2.4/game | venue form gap: +5 (home-at-home vs away-at-away) | home on 2-game win streak | away on 2-game losing streak",3,1.94,False,Getafe vs Sevilla,3.19,A,False,12.1,"Pinnacle draw 30% | gap=+0pts | home DR 30%, away DR 30%",Leverkusen vs Hoffenheim,Home Win,1.21,H,True,18.6,"Pinnacle gives home 79% win prob | dominant form gap: 15pts vs 6pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 2.2/game, opp concedes 2.0/game | venue form gap: +9 (home-at-home vs away-at-away) | home on 7-game win streak | away on 2-game losing streak"
2024-04-08/2024-04-14,False,Leverkusen vs Werder Bremen,Home Win,1.2,H,True,22.2,"Pinnacle gives home 80% win prob | dominant form gap: 15pts vs 1pts in last 5 (historic 87% accuracy) | MISMATCH: home on 15pts, away on 1pts — best config (90%+ historic) | attacking mismatch: home scores 2.0/game, opp concedes 1.8/game | venue form gap: +6 (home-at-home vs away-at-away) | home on 9-game win streak",Man City vs Luton,Home Win,1.09,H,True,16.4,"Pinnacle gives home 89% win prob | clear form advantage: 11pts vs 4pts in last 5 | attacking mismatch: home scores 2.4/game, opp concedes 2.0/game | venue form gap: +10 (home-at-home vs away-at-away) | home on 2-game win streak",3,1.78,True,Torino vs Juventus,3.06,D,True,15.3,"Pinnacle draw 32% | gap=+3pts | home DR 40%, away DR 40%",RB Leipzig vs Wolfsburg,Home Win,1.36,H,True,15.3,"Pinnacle gives home 71% win prob | dominant form gap: 13pts vs 3pts in last 5 (historic 87% accuracy) | MISMATCH: home on 13pts, away on 3pts — best config (90%+ historic) | attacking mismatch: home scores 3.0/game, opp concedes 2.2/game | venue form gap: +5 (home-at-home vs away-at-away)"
2024-04-29/2024-05-05,False,Sassuolo vs Inter,Away Win,1.51,H,False,20.4,Pinnacle gives away 64% win prob | dominant away form gap: 13pts vs 3pts in last 5 (historic 87%) | away attack 2.0/game vs leaky home defence 2.8 conceded/game | venue form gap: -10 (home-at-home vs away-at-away) | away on 2-game win streak | home on 2-game losing streak,Man City vs Wolves,Home Win,1.09,H,True,17.6,"Pinnacle gives home 89% win prob | dominant form gap: 15pts vs 4pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 3.8/game, opp concedes 1.6/game | venue form gap: +8 (home-at-home vs away-at-away) | home on 5-game win streak",3,2.22,False,Genoa vs Cagliari,3.11,H,False,16.9,"Pinnacle draw 31% | gap=+0pts | home DR 40%, away DR 50%",Real Madrid vs Cadiz,Home Win,1.35,H,True,16.3,"Pinnacle gives home 71% win prob | dominant form gap: 15pts vs 4pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 2.2/game, opp concedes 1.6/game | venue form gap: +13 (home-at-home vs away-at-away) | home on 6-game win streak"
2024-05-13/2024-05-19,False,Man City vs West Ham,Home Win,1.09,H,True,16.9,"Pinnacle gives home 88% win prob | dominant form gap: 15pts vs 4pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 3.4/game, opp concedes 3.0/game | venue form gap: +7 (home-at-home vs away-at-away) | home on 8-game win streak",Ath Madrid vs Osasuna,Home Win,1.39,A,False,16.9,"Pinnacle gives home 68% win prob | dominant form gap: 12pts vs 2pts in last 5 (historic 87% accuracy) | MISMATCH: home on 12pts, away on 2pts — best config (90%+ historic) | venue form gap: +8 (home-at-home vs away-at-away) | home on 4-game win streak",3,1.76,False,Torino vs Milan,3.21,H,False,14.5,"Pinnacle draw 30% | gap=+0pts | home DR 50%, away DR 30%",Liverpool vs Wolves,Home Win,1.16,H,True,15.0,"Pinnacle gives home 83% win prob | attacking mismatch: home scores 2.4/game, opp concedes 2.4/game | venue form gap: +8 (home-at-home vs away-at-away) | away on 2-game losing streak"
2024-08-26/2024-09-01,False,Barcelona vs Valladolid,Home Win,1.25,H,True,15.0,Pinnacle gives home 77% win prob | dominant form gap: 15pts vs 6pts in last 5 (historic 87% accuracy) | venue form gap: +14 (home-at-home vs away-at-away) | home on 7-game win streak,West Ham vs Man City,Away Win,1.37,A,True,14.8,Pinnacle gives away 70% win prob | dominant away form gap: 15pts vs 6pts in last 5 (historic 87%) | away attack 3.0/game vs leaky home defence 2.2 conceded/game | venue form gap: -10 (home-at-home vs away-at-away) | away on 11-game win streak,3,2.21,False,Leganes vs Mallorca,2.89,A,False,25.8,"Pinnacle draw 34% | gap=-1pts | home DR 67%, away DR 50%",Ath Madrid vs Espanol,Home Win,1.29,D,False,13.6,"Pinnacle gives home 74% win prob | clear form advantage: 10pts vs 3pts in last 5 | attacking mismatch: home scores 2.2/game, opp concedes 2.0/game | venue form gap: +8 (home-at-home vs away-at-away) | away on 2-game losing streak"
2024-09-30/2024-10-06,False,Arsenal vs Southampton,Home Win,1.13,H,True,15.5,"Pinnacle gives home 85% win prob | dominant form gap: 11pts vs 1pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 2.0/game, opp concedes 2.2/game | venue form gap: +13 (home-at-home vs away-at-away)",Leverkusen vs Holstein Kiel,Home Win,1.08,D,False,14.5,"Pinnacle gives home 89% win prob | dominant form gap: 10pts vs 1pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 2.8/game, opp concedes 3.4/game | venue form gap: +9 (home-at-home vs away-at-away)",3,1.59,False,Leganes vs Valencia,2.81,D,True,18.3,"Pinnacle draw 35% | gap=-3pts | home DR 50%, away DR 30%",Stuttgart vs Hoffenheim,Home Win,1.3,D,False,14.2,"Pinnacle gives home 73% win prob | attacking mismatch: home scores 2.8/game, opp concedes 3.0/game | venue form gap: +10 (home-at-home vs away-at-away) | away on 4-game losing streak"
2025-02-24/2025-03-02,False,Roma vs Monza,Home Win,1.33,H,True,18.2,"Pinnacle gives home 72% win prob | dominant form gap: 13pts vs 1pts in last 5 (historic 87% accuracy) | MISMATCH: home on 13pts, away on 1pts — best config (90%+ historic) | venue form gap: +13 (home-at-home vs away-at-away) | home on 2-game win streak",Barcelona vs Sociedad,Home Win,1.27,H,True,14.0,"Pinnacle gives home 75% win prob | dominant form gap: 15pts vs 6pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 3.0/game, opp concedes 1.8/game | venue form gap: +6 (home-at-home vs away-at-away) | home on 5-game win streak",2,1.69,True,Osasuna vs Valencia,3.19,D,True,18.3,"Pinnacle draw 30% | gap=-1pts | home DR 60%, away DR 40%",,,,,,,
